白葱 1/2~1本
すり下ろしショウガ 好きなだけ
ベーコン ﾊｰﾌ4枚〜好きな分
柚子の皮 １片
氷 5～6個
ﾊﾞﾀｰ 100ｇ
卵 ２個
チーズ 大さじ7くらい
豆乳 １カップ
チーズ ひとつかみ
もやし １袋
かつおぶし 10グラム
塩コショウ 少々
卵 1個
トマトホール缶 1/3
にんにく 1片
玉ねぎ 1/2個
ベ－コン １パック
はちみつ 小１
にんにく 6〜7かけ
☆　水 １００cc
砂糖 36g
砂糖(きび砂糖がよい) 大さじ２～３
（薄力粉120、片栗粉20、塩小1/4 でもＯＫ）
醤油 適量
レモン 1個
長ネギ 1/2本
白だし 200ｃｃくらい
砂糖 900g前後
人参 ８０ｇ
コーン缶 大さじ２～３
はんぺん 110g
卵白(M) 2個分
ゆでたまご ３個
干し椎茸 ２〜３枚
人参 1本
豚コマ肉 300g
玉ねぎ 中 1/2個
イカ 1杯
◎卵黄 1個
卵黄 １個分
納豆 1パック
豚のひき肉 ３００g
薄力粉 ３０㌘
無塩バター １０ｇ
フランスパン 2切れ
ツナ缶 1個
●濃縮だし 大さじ3
塩 小さじ1/2
にんにく（すりおろし） 小さじ２
こんにゃく 1/3枚
粗塩 100g
★昆布 ３０ｇ
ピザソース 大さじ２
にんじん(Ａ) １／４本
スライスアーモンド 20g
塩 １つまみ
塩 小1/4
ニンニク 大きめ１かけ
水 ３合分
★カットトマト缶 1缶
卵 6個
砂抜きしたあさり 1パック
水 小豆の１．５倍くらい
砂糖 5ｇ
クリームチーズ 250g(200g)
★塩 小さじ1/2
ごま 適宜
砂糖 2カップ強
あさりの佃煮 パック半分（30ｇ位）
アボガド １個
砂糖 55ｇ
★長葱 1本
らっきょ酢 蓮根がひたるくらい
スパム 1／3缶
ハマグリ 　６コ
醤油 大さじ2
カリフラワー １５０ｇ
オリーブオイル 大さじ1
れんこん 1節(250g)
☆味噌 300g
かんぴょう 10ｇ
グラニュー糖 70g
昆布 ３×５cmほど
玉ねぎ 1個
人参 ３０ｇ
鶏むねorﾓﾓ肉 一枚
さつま揚げ　　食べ易くカット 3枚くらい
切干大根（水に戻して） 小容器1カップ
玉ねぎ １／４個
ごま油 少々
薄力粉 50ｇ
ブロッコリー 小房２つ
グラニュー糖 200g
からあげ粉 適量
パインジュース １カップ（１８０ｃｃ）
 1/2個
すりおろしニンニク 1片分
水 2カップ
長ネギ(白い部分) 15センチ程度(好きなだけ)
じゃがいも 1個
ほうれん草 1束
グリーンリーフ ５～６枚
★砂糖 ２００ｇ
砂糖 ６０ｇ
トマト 1/2
卵 1個
鶏もも肉 150ｇ
●水 1リットル
栗の甘露煮 1瓶分
茹でたパスタ １人分
薄力粉 ３０グラム
セロリ 1本
大根 好きなだけ
●酒かす ２０～２５ｇ位(酒かすが好きな方は３０ｇ位でも）
にんにく ４片
卵（室温に戻す） 3個
玉ねぎ 2個
さば缶(味噌、醤油でも可) 一缶
ねぎor　たまねぎ（みじん切り） １０から２０ｃｍ分or　1/2こ　
水 １２５ml
*天ぷら粉 1カップ
ドライイースト 小さじ1
砂糖 ４０ｇ
卵(溶きほぐす) 1個
※ネギ（青い部分） 1本分
青梗菜など(付け合わせ) 1束
卵白 卵１つ分
モッフル 人数分
じゃがいも ４個
卵 3つ
塩コショウ 少々
かつお節 小袋１
★ネギ １／２本
Ａ醤油 大さじ3
しょうゆ 小さじ1〜2くらい（お好み）
☆しょうゆ 大さじ３
砂糖 120ｇ
人参 3ｃｍ
カップケーキ(チョコ) いっぱい
ベーコン ２枚
タマネギ 二分の一　個
玉ねぎ 1/2個
人参 ２分の１本
白菜 2～3枚
○水 ２００ml
水 120ｃｃ
市販のうどんだし １人分
きゅうり 1/4本
苺（小ぶり） １P弱
卵 2個
味噌汁 1人分
醤油 カップ4分の一
グラニュー糖 ３７ｇ
塩 小さじ１弱
玉ねぎ 1/8玉
にんにく（チューブでもOK） ひとかけ
有塩バター 10g
★出し汁 ３００ｃｃ
ウインナー 6本
♪板ゼラチン 3枚
砂糖 大さじ２
･ミートソース 好きなだけ
砂糖 90ｇ
塩 一つまみ
コンソメスープ 200ｃｃ
ごはん おわんに半分
★マロニー（鍋物での残り物OK） お好きなだけ
フルーツ缶詰 １個
ミートソース 大さじ１弱
砂糖 小さじ３分の１
セロリの葉 １本分
コーヒー(ブラック) 適量
梅肉 適量
さとう 大さじ1
ブロッコリー 1株
卵 6個
砂糖 20g
里芋 １袋（２００ｇ）
キャベツ 2枚
細切り筍の水煮 １袋
れんこん 80g
お魚ソーセージ １本
ドライイースト ４ｇ
砂糖 100～120g
柚子 1／2個
カレーの残り（ルーの部分） 大匙３
じゃがいも 1個
ウニとイカの和えもの（市販） 70ｇ
グラニュー糖 90グラム
タマネギ 1/4個（小）
白菜 １／４個
水 適量
ひき肉 1ﾊﾟｯｸ
にんじん １本
面粉 120g
煮卵 1つ
ホイップ(市販しぼるだけのタイプ） １袋(箱)
塩 大さじ１
砂糖 大さじ９　（白身　大さじ４　黄身　大さじ５）
栗の寒露煮（市販） １０ヶ
ゆで汁 1/2カップ
はんぺん １枚
しょうゆ 大さじ１
栗の甘露煮 １２粒入りくらいのもの
★生鮭 ２００g（皮を取った状態で）
ベーコン 5、6枚
A粉寒天 4ｇ（1本）
おろし生姜 適宜（なま生姜なら１片）
塩、砂糖 各ふたつまみ
葉(うちは大根葉やかぶの葉) ついているものすべて
くるみ 80g
くちなしの実 ２個
A:しょうゆ 小さじ１
小松菜 1/4束
オリーブオイル 大さじ３
水 600cc
砂糖 １／２カップ
●だし汁（水にほんだし小さじ2/3） 100ｃｃ
☆マヨネーズ 大２
生ラーメン 2玉
ブロッコリーの軸 1本分
水 １４２ｍｌ
バターorマーガリン 適量
薄力粉 ４０g
ドライイースト ３ｇ
玉ねぎ 大一個
明太子（たらこ） 適量
　　鶏もも １枚
カニカマ 一パック(１０本)
お湯 120ｃｃ
浸した水 400g
ジャガ芋 食べたいだけ
オリーブのアンチョビ巻き 2,3個
玉ねぎ（1/4カット） 中２個
タマネギ 1個
スマートチーズ 5個
ネギ １本
砂糖 ２０ｇ
さつまいも ２２０gだいたいでＯＫ
☆マヨネーズ 適量
水 50cc
にんにく、しょうが 各１片
生たらこ(明太子) １本
にんにく 一切れか二切れ（お好みで）
ニッスイのおさかなソーセージ ２本
はんぺん（110ｇのものを使用） 2枚
人参 2本
しょうゆ 大さじ３
８分ゆでパスタ 適量
卵 1個
春巻きの皮 白子の量に合わせて
クリームチーズ 100g
さつまいも 1本
紫やまいも（すりおろし） ７０ｇ
ラズベリー（生又は冷凍） 大2
しょうが ひとかけ　細切り
にんじん ２本
水 約１５０ｃｃ
お好みの野菜（食べやすい大きさに切る） お好み量で・・・
卵 ２個
小松菜（２～３ｃｍ位の長さに切る） ２～３束
しょうが 1かけ
砂糖 50ｇ
玉ねぎ（みじん切り） 中1個
砂糖 120㌘
◎人参 小1本
うるち米 １／４合
塩鶏雑炊の素（好きな素をお使いください） 1人分
バター 適量
鶏胸肉 1枚
砂糖 ９０グラム
オレンジジュース ３５０～４００(さつまいもの大きさにより)
ドライイースト 小さじ１と１/２
牡蠣 １パック（１２０ｇ）
＊牛乳 200ｃｃ
蓮根 100グラム
塩・こしょう 少々
乾燥ゆば １０ｇ
トマト １～２個
バター ８０ｇ
クリームチーズ(「フィラデルフィア」使用) 100g
柚子の搾り汁 大さじ1/2
大根 10センチ幅の量
プリンミックス 40g(1箱)
昆布 ５０グラム
大根 1センチ幅を30センチ
砂糖 ３０グラム
じゃがいも 中1個
砂糖 小さじ1
マヨネーズ 卵の黄身と同量
◆長ネギ １／２本（みじん切り）
酒 200cc
赤パプリカ、塩茹でしたホウレンソウ、ベーコン 各少々
エリンギ 1～2本
Ａ水 ５０ｇ
生クリーム 大匙2杯
にんにく ２かけ
Ａ水 ５０ｇ
里芋 １袋くらい
コーンスターチ ５ｇ
雪菜 1/2束
ニンニク 2カケラ
砂糖 大さじ1+2/3
豚バラ(厚め) ５０g程
たまねぎ 1/2個
オイスターソース 大匙2杯
じゃが芋 ２個（皮付きのまま乱切り）
◆砂糖 大２
Ａレモン汁 大さじ１
ネギ（小口切り） 適量
栗の甘露煮 １瓶（７，８個）
はんぺん 大１枚（だいたい110g）
たこ 50㌘
黒豆 1/4カップ
だしがらしいたけ 2枚
水 4カップ
白練りごま 大さじ1
ドライイースト ４ｇ
砂糖 200g
塩 ５ｇ
マッシュルーム ５個
ビターチョコレート ３０g
砂糖 ８０ｇ
卵 ２個
ほうれん草（水菜や小松菜でも） ２～３束
豚肉 500ｇ
水 7カップ
☆ケチャップ 大さじ４
大根 ８ｃｍぐらい
水 １０カップ
ロースハム 3枚
●焼き肉のたれ 大さじ3
中種 80g
栗甘露煮 1瓶(約300g)
りんごストレート酵母液 150g
ベーコン 2枚
中種 80g
栗の甘露煮 固形量で250グラムぐらい
水 300ｃｃ
中種 80g
黄身 20ｇ（約1個分）
中種 80g
■お魚ソーセージ 1本
だし汁 ４カップ
中種 80g
●水 100cc
ゆずストレート酵母液 150g
水 500ml
大根 10センチ
バター（有塩） 60g
ｸｯｷﾝｸﾞﾍﾟｰﾊﾟｰ 一枚
ブロッコリー 1株
砂糖 30グラム
砂糖 大さじ半程度
ドライフルーツりんご 3～5個
小麦粉 ７０ｇ
玉ねぎ 半分
たまご 3個
生クリーム ２００ｇ
水 １ℓ×回数分
ジップロックなど冷凍保存袋 必要なだけ
牛乳 大１
極 １袋
塩 小さじ1/2
水 ３００ｃｃ
玉ねぎ（中） 半分
にんじん ２分の１本
岩塩 少々
アーモンド、くるみ 各15粒位
おでんの残りなんでも お好きなだけ
栗の甘露煮 大きいサイズ1袋
大根 約１０cm
生姜のすりおろし　　鶏肉の下味用 １かけ分
大葉 4枚
しらす 大さじ３
黒豆 適宜
カシューナッツ ２０ｇ
砂糖 50ｇ
キャベツ（みじん切り） 1/4C
とろけるスライスチーズ ３枚
醤油 20cc
ジャガイモ 3つ
舞茸 一株
マッシュルーム １０個
明太子 １腹
生姜 １/2片
乾燥ココナッツ  60g (30g)
新聞紙 １～２枚
玉ねぎ 3/4個
ピーマン １袋(５個)
ピーマン 1/2個
ドライイースト 3g
唐辛子 1本
大葉 16枚
人参 ５cm分
海苔 適宜
砂糖 40g
小麦粉 100㌘
砂糖 100g
砂糖 200 g
春雨（緑豆） ５０ｇ
生姜 ５０ｇ～
トマト 中1個
エリンギ １本
ゆずジャム ＩＤ９６１８５６（大匙１）
卵 1個
●醤油 大さじ2
トマト（今回は中玉） 5個
ざら飴 大さじ２
☆葱、豆腐、ナメコ等 好みで
もち米 2合
豚バラ 150～200ｇ
青菜（今回は菜花） 2株
薄力粉 30ｇ
たまご 1個
しょうゆ 大さじ３
玉子 ２個
ジャガイモ ２～３個
めんつゆ 3人前
大根 1/2本
かつおくるみ 適量（大匙２位）
塩 小さじ1/2弱
味噌（麦みそ） ５０
ごぼう 160g（2本弱）
ワイン 50cc
白ゴマ 大さじ４
人参 ２００ｇ程度
おさかなのソーセージ 1本
だし汁 800CC
ごはん 150ｇ
豆腐 半丁
◎コーラ ３５０ml
青（黄）ゆずのかわ １００
味付け海苔（今回はニコニコ海苔「極」使用） ４枚
ごまめｏｒ干しエビ ２０ｇ
はんぺん 大きいもの１枚
ご飯 １合分くらい
水 ６カップ
ゴマ油　ネギ小口切り　土生姜おろして 各大匙１
ニンニク ４かけ
オリーブオイル 適量
生ハム ３０グラムくらい
酒 小さじ１
れんこん 5ｃｍ位
鶏がら １羽分
牛乳 200ｃｃ
白滝 一袋(200g)
人参 約５０ｇ
シーチキン 1缶
なす 中１本
残りのカレー スプーン１杯でＯＫ
：砂糖 約200G
大根 　1/4本
玉葱 小３個
酒 大さじ２
生クリーム 200cc
玉ねぎ １個
大和芋 10cm位
上白糖 30ｇ
卵 2個
玉ねぎ 大2玉（中なら３～４玉）
納豆 1パック
キャベツ 100ｇ
ラディッシュ 小15個ほど
：ﾎﾜｲﾄﾘｶｰ 1･8L
昆布 ２０×１０ｃｍ
栗の甘露煮 ４００ｇ
ゆで卵 ２個
水 １００ＣＣ
★１にんにく 半かけ
にんじん 小半分
豚肉 １５０ｇ
◎濃縮麺つゆ 大さじ１と半分
ネギ ２本
三番だし ９０ｃｃ
①パプリカ・カラーピーマン　赤＆黄 各３／４コ
生ハム 8枚
グラニュー糖 ３０ｇ（１５ｇ）
細ネギ（青葱でも） １／２束
砂糖（今回はきび砂糖使用） 100〜150g（イチゴの半量が目安のお好みで）
豚の薄切り 5枚
豚薄切り肉（豚バラ可） 10枚（200～300g）
市販の色の薄い濃縮つゆ 大匙3
白菜 1/4切れ
エビ １８尾
大根 １５ｃｍ
タマネギ 1/4個
水 6カップ
ニンニク 一かけ
ペコロス 4〜5個
酒：しょうゆ：みりん：水 1：1：1（各250cc）：1.5
じゃがいも 大3個
水 60ｃｃ
人参 １００グラム
※西京白みそ 100g
お湯 ４００ｍｌ
■酒 大さじ1
大根 ５ｃｍ
ハーシーチョコレート味生クリーム １パック
こんにゃく 1袋
バター 大さじ１〜２
ライム 1個
パスタ １００グラム
卵(Ｍサイズ) ５個
塩（呼び塩用） 小さじ2
しいたけ 1個
じゃがいも 5～6個
砂糖 250g
長ネギ 白い部分 5ｃｍ
砂糖 50ｇ
鶏モモ １枚
☆薄力粉 50ｇ
たまねぎ 1/2個
ニンニク ２片
薄力粉 50ｇ
大根の皮の部分（5mm位にむいて） 15センチ分
ゆず 小１こ（45ｇ）
かつお節 軽くひとつかみ
醤油 大さじ４〜５
鰹節 30〜40㌘
生姜 ２かけ（好きなだけ）
ブラウンシュガー 70ｇ
大根（厚さ２．５cm程の輪切り） 鍋底に並ぶ枚数
出汁 ３００ｃｃ
さつまいも 1本
熱湯 １５０ｍｌ
Cut Wax Yellow Beansの缶 1コ(16oz)
栗の甘露煮（瓶詰めでよい） 18粒
砂糖 大さじ２
塩 大さじ　2
ささみ 3本
生クリーム ２００ｃｃ
人参 4ｃｍ
紅しょうが １袋（汁ごと使用）
人参 半分
上白糖 150g
☆砂糖 20g
塩 小さじ1
生クリーム（動物性・植物性どちらも可） 100cc
砂糖 １００ｇ
オリーブオイル 適宜
混合削り節(厚削り) 70〜80g程度
強力粉 100g
砂糖 大3(作るパンによって加減)
冷凍パイシート ２枚
もやし 適量
柚子 小1/2コ
くちなし 1コ
＊酒 ５０ｃｃ
パン粉 適量
黒豆 ５０ｇ
氷砂糖 160g
長ネギ（白ネギ） １本（多めでもＯＫ）
ホットケーキミックス 200ｇ
黒酢 400cc
にんじん 半分
しお 適量
なめこ 1袋
合挽き肉 50ｇ
ひきにく 100g
のり 1枚
豚バラ肉 200g
卵 2個
塩 小さじ山盛り４くらい
大根 ７ｃｍ
にんにく（みじんぎり） ひとかけ
豚肉 こま切れなど ６０ｇ
お好きなふりかけ 適量
人参 1/2
きくらげ ４，５枚
ウニ（塩漬け） 大５～６
酒・しょうゆ 各大さじ２
塩 適宜
にんじん １／３本
サラダ油 50g
・バター 大さじ４
レモン汁 １／２個分
玉ねぎ 1個
○グラニュー糖 ４０ｇ
枝豆 1袋
三温糖 大匙２杯くらい
塩 適量
水 ２カップ
三温糖 150g
＊長ネギの青い部分 2本分
ニッスイおさかなのソーセージ 1本
★長ネギ １／２本
☆塩 大1〜お好み
甘栗（市販の袋入り） １２０グラム（適当に）
タコ糸 適量
鶏肉 １２０ｇ
牛挽き肉 100g + お好みで
ブロッコリー‥（茹でる） １/３株
粉チーズ 大１
豚薄切り肉 150ｇ
ハム ３~４枚
ウェイパー（味覇） 　　　　　　　　　　小さじ1～お好みで
ゆで卵 ３個
・砂糖（鶏肉用） 大さじ2
砂糖 20ｇ（お好みで）
バター １０～２０グラム
☆薄力粉 100グラム
さとう ２３０～２５０ｇ
みょうばん 小さじ0.5
もち米 １合
卵 ３個
★絹とうふ １/２丁（150ｇくらい）
にんじん 1/4本
バター 10g
玉ねぎ １個
納豆のタレ ３袋
エノキ ３分の１束
絹ごし豆腐 300g 
ベーコン 3枚
料理用のお酒 大さじ２
●砂糖 250～300g
雪塩 1尾につき大さじ2くらい
牛肉 100ｇ
栗甘露煮 ２００ｇ
卵 1個
食パン 1枚(何枚切りかはお好みで)
甘露煮のシロップ 200ml
サラダ油 大さじ1
にがり お使いの物を適量で（200mlに対し8～10ml位）
鶏もも肉 1/2枚
□白身用砂糖 大さじ８
みりん １カップ
　だし　（こんぶ・しいたけ・鰹節） 適量
★砂糖 大さじ2
長ねぎ（青い部分） 1本
包丁 １つ
ごま油 大さじ１
油揚げ 大一枚
生椎茸（マッシュルームでも） 3枚ほど（薄切りに）
胡桃 ３つかみ
重曹 ３ｇ
おから 作りたい分
さつまいも(できれば金時) 200ｇ(正味)
キャベツ 葉２枚
塩コショウ 各少々
塩 大２
クリームチーズ 50ｇ
みりん 1/2カップ＋3/4カップ
エリンギ‥（食べやすい大きさに切る） １パック
くるみ（カシューナッツやピーナッツでも） 40g
バター 20ｇ
にんじん 1/3本
■　卵（Mサイズ） ５個
すり白ゴマ 大さじ２
ふりかけご飯 お茶碗一つ分
米粉 １５０ｇ
りんごジャム 100g
マヨネーズ 適量
豚ばら肉 300g弱
はんぺん １６０ｇ
グラニュー糖 ２０ｇ
人参 二分の一本
砂糖 110ｇ
茹だこ 足２本
BP 小さじ1/2
はんぺん 110g
人参 １本
ベーキングパウダー 小さじ1
（この日は白菜、きのこ、たら、ニンジン等） 適量
絹豆腐 90g(大体で大丈夫です)
牛豚挽肉 １００ｇ
れんこん 中１節
黒豆の煮汁 60cc
ゆで卵 2個
白ごま 大さじ１
ひざ軟骨（鶏肉） 100グラム弱
塩 少々
マヨネーズ 適量
マヨネーズ 適量
ヨーグルト 1カップ
ベーコン １枚くらい　
はんぺん １枚
砂糖 大１
つなぎ粉 30ｇ
にんじん 少々
しいたけ ２枚
牛乳 1ｶｯﾌﾟ
紫蘇 １枚
人参 太め５ｃｍ（約７０ｇ）
昆布 15センチ程度
塩・こしょう 適量
しそ 4本
ミニトマト ３個
シーチキン １缶
玉ねぎ 1個
水 6～8ｃｕｐ（今回は6cup）
＊麺つゆ（2倍濃縮） １５０ｃｃ
醤油 大さじ2
鶏もも肉 ２００ｇ
鶏肉（オムライス用の小さいもので可） 100ｇ（適量）
カット葱 1つまみ
上新粉 大さじ2
★椎茸の戻し汁 200cc
重曹 一つまみ
味噌 大さじ３
パイナップル（できれば生） 100ｇ
塩 小さじ1.5
卵黄 3個
青海苔 適量
水 あずき缶と同量
塩（下処理用） 大匙５
あわせ味噌 好みの量
●ほんだし 大さじ1
☆オリーブオイル☆ 大さじ１
ネギ ２本
バター ８０ｇ
人参 1本
サラダ油 大１
☆砂糖☆ 大さじ２
大根 1/2　本
人参 １／２本
バター 100ｇ
生のローズマリー ５㎝くらい
砂糖 100-150g
ガーリックパウダー ひとふり
しらす 20g
砂糖 大さじ３
butter お好み
★合わせ酢 １００ｃｃ
banana 1/3
グラニュー糖 90ｇ
かたくり粉 適量
砂糖 大さじ３
水 150㏄
人参 1/2本
白菜 ４００グラム
人参 50グラム
鶏挽肉 ５０g
はんぺん（角切り） １枚
黒豆の煮汁 大3
豚白モツ（下処理済み） 100g
人参 15センチ
ご飯 １．５～２合くらい
塩 小さじ2
水 ７００cc
合わせ酢 ５０ｃｃ
水 200ml
れんこん ３００グラム
エビ ３尾
玉ねぎ 4分の1個
りんご 1個
京人参（人参でも） 1本
人参 １本
☆砂糖 ８０g
卵 3個
野菜ジュース 185ml
全粒粉 ３０グラム
はんぺん 1袋(110g)
ラムレーズン 20g
しょうゆ ４５ｃｃ
砂糖 ２５ｇ
レモン果汁 小さじ１／２
シメジ 　1/2パック
するめ・昆布 小１枚
アルミホイル 1枚
水または牛乳または豆乳 適量
ピーマン １個
生おから 150g
海老 １２尾
じゃがいも 3～4個
油（サラダ油・オリーブオイル） 適量
水 300cc
ベーコン ３枚
もやし 1/4
☆水 3カップ
しょうが   ↑同量
粉チーズ 小さじ１／２
タマネギ（みじん切り） 半個
栗甘露煮瓶詰め 7～8粒位
　※里芋・れんこん・にんじん・たけのこ・ いんげん・しいたけ・ごぼう
砂糖 240ｇ
出し汁 400cc（干し椎茸の戻し汁を使用、あればだしの素も適量）
鮭（刺身用） 150ｇ
バター(ホワイトチョコの時はいりません。) 40g
お湯＋水 １カップ
A だし汁 1カップ
たまねぎ 小１個
こしょう 少々
三温糖又は黒砂糖 100g
卵 1個
玉ねぎ 1/2個
本みりん 90cc
かち栗 100ｇ
水 １～2カップ
人参 大きめ1本（皮をむいて180gくらい）
ザーサイ 桃屋の１瓶
だしのもと 小さじ１／２
コーンスターチ 20g
水 大さじ３
砂糖 ４０グラム
だし汁 360ml
しいたけの戻汁（かつおだしでも） １L
卵 5個
白菜 ２分の１カット
人参 1本
から揚げの素 適量
砂糖 50g
酢 大さじ６
生ハム 適宜
強力粉 ３５ｇ
酢 １／２カップぐらい
水・トムヤムペースト 180ｃｃ・大さじ２　お好みで
たまご ３個（М～L）
イクラ（醤油漬け） ６０ｇ
こんにゃく 2枚
イカの燻製 50グラム
砂糖 大さじ７
はんぺん １枚（１１０ｇ）
○BP 小さじ１
いんげん（冷凍でも） 一握りくらい（お好みで）
・酒 大さじ1/2
大根 １／３
砂糖 80g
みりん 90cc
小松菜 1束
薩摩芋 正味９００ｇ
ラム酒 好きなだけ
塩 大さじ２〜３
大根 1/5本
グラニュー糖 ３５ｇ
水 500cc
バター 60〜80g
大根，人参 各１０ｃｍくらい
炒り卵 卵１個分
グラニュー糖 130g
※酒、酢、しょうゆ 各小さじ1/2
松風焼き 鶏ﾐﾝﾁ･生姜汁･味醂等
スキムミルク 大さじ１０（約１００ｇ）
クリームチーズ 150g
スライスチーズ 半分～１枚（好みで）
　* 醤油 大さじ1 1/2
練乳 大さじ2
人参 中サイズ2本
片栗粉 適量
ココナッツミルク 1缶（４００グラム）
あさり １５０グラム
玉子 一個
プレーンヨーグルト 1カップ（200ml）
薄力粉 50ｇ
にんじん ５センチくらい
干椎茸 2枚
鶏もも １枚
パター（マーガリン〇） 適量
☆みりん ２５ｇ
干し昆布 1枚
筑前煮 ID　４８３２２７
だし汁 300cc
水 １５０ｍｌ
アーモンド ４粒
シチューの素 適量
人参 100g
★牛乳 or 豆乳 ２００ｃｃ
たまご ４こ
卵黄 １個分
卵 ２個
★塩 小さじ1,1/2
鶏肉 １００グラムぐらい
包丁 1丁
くちなし 1個
●玉ねぎ（みじん切り） 1/2個
砂糖 大さじ３
ごはん（好みで酢飯に） ２～３合
みそ 大2
カスタードクリーム 適量
煮つけえび ID:1001446 
醤油 大さじ1
☆れんこん 1個
砂糖 80-100g（お好みで）
焼き海苔 適量
★きなこ 好きなだけ
人参 適量
★生クリーム １５０ｃｃ
大根おろし たっぷり
鶏もも肉 １００ｇ（そぎ切り）
日本酒 大さじ１～1,5
シエロオリーブオイル 大さじ1
酢 大さじ１
はんぺん ２枚（200g位）
はんぺん 1枚(100ｇ)
魚肉ソーセージ １本（７５ｇ）
薄力粉 50㌘
水 １ℓ
大根菜 １００ｇ
人参 １／２本
砂糖 大さじ１
絹ごし豆腐 １２０～１５０ｇ
ピーナッツ 適宜
ﾍﾞｰｺﾝ 一枚
バター 40g
■ヨーグルト 400g
砂糖（三温糖） 200グラム
塩 適当
かぶ 小２個
玉ねぎ １個
大根 １６０ｇ
◆ほうれん草 １／２束
☆だし 100ｃｃ
砂糖 大さじ４
