■水 500ml
●ベーキングパウダー 小さじ1／2
ローリエ ２枚
☆ドライイースト 3ｇ
にんにく 1かけ
胡椒 ０．１グラム
牛乳 100ｃｃ
醤油・酒・みりん 大匙3
ごま油 少々
バニラエッセンス 適量
★水あめ（なければ同量の砂糖を追加） 大さじ４
ドライクランベリー ７５ｇ
＊塩・コショー 適量
黒こしょう 少々
★バター ５０ｇ
ごま油 適宜
カイワレ 1箱
　★バター（マーガリン可） 30g
コンソメキューブ ２個
にんにく １かけ
☆茹で汁 水４００ｃｃ＋酒大さじ３
ゴマ 適量
にんじん 1/2本
＊＊すりおろしニンニク ごく少量
※ゆず 適宜
すりごま 小さじ１
しょうゆ お玉３杯くらい
鷹の爪（あれば） 2ケ
（または）大さじ５の酢を 酢大さじ３とやさしいお酢大さじ３
ココナッツミルク缶 200ml
ウスターソース 大さじ１
ココアパウダー 小さじ1/3
◎酢 大さじ2杯
片栗粉 適量
くちなしの実 ２個
●だし汁 １２０ｃｃ
チリパウダー(S&Bの) 10g
★片栗粉 大さじ１
コーン 適量
塩コショウ 適量
干しシイタケ 5枚
粉チーズ あればお好みで
卵 １つ
牛乳 1カップ
◎酒 大さじ１
ネギ(小口切り) ひとつかみ
うずら卵（水煮） ６個
※醤油 大さじ１
豚（もしくは鶏・コンソメ・ほんだし）のエキス 大匙1杯
ねぎ 1本
　もつ ２５０ｇ
砂糖（三温糖） 大さじ1
ａ　コショウ 少々
ショートパスタ（ペンネやコンキリエなど） 150g（写真は200g）
水あめ(なければ砂糖) 大さじ5(砂糖なら50ｇ)
お好みで輪切り唐辛子 適量
グリーンリーフ 適量
砂糖 大2ぐらい
塩（岩塩） お好みで
■塩 小1/2
かにかま ２つ
砂糖 １５０ｇ
〇アーモンドプードル ３０ｇ
干ししいたけ ６個
黒いり胡麻 大さじ2（+飾り用に少々)
にんにくチューブ 小さじ１
白胡麻 大さじ１
ベーコン ３枚
醤油 大さじ２
塩・こしょう 適量
ﾌﾞﾛｯｺﾘｰ 1個
●砂糖 小さじ１/２
揚げ油 適量
コンソメorガラスープの素 適量
にんにく 1片
酢・塩 各少々
白ゴマ 適宜
　　　●インスタントコーヒー 大2
○ほんだし 大さじ1/2
めんつゆ ５０ｃｃ
粉砂糖 適量
酢 お好みで
味の素 少々
☆油揚げ☆ ５枚
塩 小さじ　1
ブルーベリージャム 好みで適宜
ごま 大さじ2
醤油 大さじ１弱
☆胡椒 少々
塩 小１/２
シナモンパウダー 適量
干ししいたけ ６個
みりん おおさじ１
塩 一つまみ
クローブ 5個
だし汁 適宜
椎茸 ４枚
無塩バター 100g
グラニュー糖 ５０ｇ
生ハム お好み
中華スープの素（顆粒） 　小さじ１
濃縮だし（めんつゆでも可） 濃縮倍率に応じて
抹茶 大さじ2
水 カップ１～１半
セロリ 10cm
塩 ひとつまみ
コンソメ類粒 少々
みりん 大1
◎醤油 小1
マッシュルーム（薄切り） 5-６個
　　水 １カップ
カマボコ 薄く4〜8枚
板ゼラチン 2枚
サラダ油 適量
※好みのサラダ（野菜） 適量
●ブラックペッパー 少々
こんにゃく 160gくらい
アーモンドプードル 30~40g
バター ２５グラム
海苔(すしはね) 全形2枚
白だし 小さじ１
塩 小さじ3~4ぐらい
生クリーム ４０ｃｃ
キャベツ 中4分の1　大きめにカット
醤油 大さじ６
バニラエッセンス 適量
★塩 小さじ1/4
卵 2個
塩 適量
卵白 ５個
きび砂糖 大さじ2
小麦粉 大さじ3
●顆粒だしの素(鰹風味：塩分無添加) 小さじ２
炒りごま 大さじ１
こんにゃく 一枚（ねじりこんにゃくに）
昆布の煮 昆布･砂糖･醤油等
白いりごま 適宜
絹さや 適量
お好みで白ゴマ 適量
ドライパセリ（オプション） 少々
塩 ０．１グラム
牛乳 125ｃｃ
青海苔 少量
出汁（かつお、昆布） 中鍋一杯程度
まり麩 ４個
おふ 好きなだけ
田作り ID　４６０３８５
きざみ海苔 適宜
ケトリング用　湯 ２L
★生姜（みじん切り） 大さじ１
人参(輪切り薄切り) 12枚～
醤油 適量
お茶パック（ガーゼ） 1枚
◎バニラエッセンス ５〜６滴
ねぎみじん切り 大さじ2
☆にんじん 1本
卵（MS)(L2個も可） 3個
昆布巻き 3個
☆水 １００ｃｃ
無塩バター 15㌘
抹茶塩 適量
クミンシード 大さじ１
○サラダ油 大さじ１
◆塩 小さじ１／４
　酢 小さじ4
シナモン ひと振り
●酒 150cc
紅しょうが・刻みノリ 好みで
貝われ 半パック
干し椎茸（どんこ） ６枚
　大根の千切り、ミニトマト、万能ネギ、黒ゴマ 各適宜
塩 小さじ1/2
しょうゆ 100cc
大根 適量
★出汁 １６００ｃｃ
<<伊達巻>> ４切れ
チョコチップ お好み
水 60ｃｃ
★うすくち醤油 小さじ１
タケノコの水煮 適当
※胡麻油 小さじ１
★水 100cc
☆ホットミルク 400ｃｃ
バター ２５ｇ
大根おろし たっぷり
B砂糖 小さじ１（お好みで調節）
☆薄力粉 180g
胡麻 大さじ２
牛乳 大5
きざみネギ 適量
塩 小さじ1～1.5
塩 小さじ1/3くらい
※　黒こしょう 小さじ１
☆みりん 大さじ1
ﾄﾏﾄ １コ(半分にｶｯﾄし、厚さ5ﾐﾘｽﾗｲｽ)
バター 40g
チョコチップ ３０ｇ
☆にんじん いちょう切りなど２切れ
ﾛｰﾘｴ 1枚
塩・こしょう 適宜
★しょうゆ 大3
鮭の切り身 1～2切
ウィンナー ５～６本
卵白■ ４個分
レモン汁 ２０ｍｌ
塩 小さじ１／４
牛乳 大さじ2
揚げ油 適量
☆パン粉 適量
パセリ 適量
ココアパウダー １０ｇ
塩・こしょう 適量
ドライイースト 小さじ１
塩 適宜
全粒粉パスタ(お好みのタイプの物をどうぞ) 適量
片栗粉(お好みで）※手順１５参照 小さじ１／２
胡椒 お好みで
オールスパイス 3～4振り
サラダ油 適量
水 材料がひたひたになる量
砂糖 大さじ1/2
牛乳 お好みで
ドライイースト 小さじ 1.5
こしょう 少々
●バター 65g
ピザ用チーズ 0.5～1カップ
鶏もも肉 1枚
バター 10ｇ
白だし 大匙1
酒 大匙1
B酒 大匙3
グラニュー糖 ７０ｇ
ドレンチェリー 好みの量
いんげん ２０本
醤油 大3
●オーブンの温度 170度
☆塩 小１／３
バター 適量
パセリ（省略可） 適量
塩 少々
バター ５ｇ
砂糖 10g
粉末コンソメ 小さじ1
生クリーム(動物性)...★ 100cc
だし（昆布・かつお又はパック・顆粒等） ８００cc~１０００cc（干ししいたけの戻し汁こみ）
ねぎの青い部分 適宜
黒豆 大さじ２
卵 １個
酒 大さじ１
　Ⅲ海苔 焼き海苔１枚
なると 4枚
●薄力粉 80g
マルサン「ふりだし」鰹・鯖ベース 2袋
プロセスチーズ(５㎜角に切る) ５０グラム
ブラックペッパー 適量
卵（衣用） 適量
えび 8匹
☆おろししょうが 小さじ2
みりん 大さじ2
かつおぶし 適量
塩 小1/2
＊昆布の戻し汁 500cc
☆麺つゆ＋水（丼物の濃さに調整して） １カップ
鷹の爪 ２
ラー油 少々
生ハム ８枚
砂糖 適量
オリーブオイル ５０cc
刻みノリ 適量
イチゴ 半パック
◎卵 １個
卵白 1個分
じゃがいも 4-5個
鶏がらスープのもと 大さじ１
塩こしょう 少々
(safイーストの場合は・・・) (3ｇ・・(粉全量　1％))
水 500cc
◇砂糖 大さじ1
無塩バター 大１
砂糖 大さじ１
オリーブオイル 大さじ１
あさつき（みじん切り） 大さじ4
お魚類 えび・数の子・きずし・サーモン等・・・
お湯 大匙１
アーモンドプードル（パウダー） ３５g（１袋）
蜂蜜・酢・醤油・酒 各大匙4
ごま油 大さじ1
☆ニッスイおさかなソーセージ １/２本（みじん切り）
伊達巻 市販品
★みりん 大さじ２
☆醤油 大さじ1
錆びた釘 2~3本
★昆布 4cm
ナツメグ 適宜
鶏がらスープの素 小さじ2
みりん 大匙3杯
コショウ 適宜
黒こしょう（★）粒状 小さじ２
・ 中華スープの素 小さじ1
　　　　　　　マヨネーズ＋醤油 大3
ブイヨン（顆粒） 小さじ1/2
刻みのり お好みの分量
(白)炒り胡麻 適量
胡椒 ０．５グラム
ねぎ ２本
こごみ 1パック
仕上げ用砂糖 お好みで
にんにくみじん切り 1かけ
◎醤油 小さじ１
水 90cc（45ccｘ2）
コンソメ 固形1つ分
胡椒 少々
☆カルダモンホール 3つ
☆てんさい糖 大さじ３強（３０g）
★　砂糖 １５g
打ち粉(強力粉） 適当
水 カップ1
だし汁 適量
砂糖 90㌘
完熟キウイ 4個
砂糖　又は　みりん 少々
いくら お好みで
オリーブオイル（orサラダ油） 少々
ごま油 小さじ１/２
塩 ４ｇ
☆砂糖 大さじ１/2
卵黄 １個
塩 ほんの一つまみ
塩、胡椒 適宜
小麦粉 大さじ1～2
きのこ 1パック
（ごま油 小さじ２）
餅 お好みで
■みりん カップ1/3
鶏肉　ももや骨付きなど 2枚～
中華料理の素（液体） 大さじ1
胡椒 小さじ１
酒 10cc
●白砂糖 大さじ６
☆味噌 大2杯
☆にんにくすりおろし 小さじ１/３
☆酒 大さじ３
パルミジャーノ・レッジャーノ 適量
塩 小さじ1/2
ゆず 適量
◎しょうゆ 大さじ4
ベージル 少々
砂糖 少し
ごま油 小さじ2
片栗粉 大さじ2杯
酒または白ワイン 大２
牛乳 ６５ｃｃ
●日本酒（銘柄は何でもOK） 大さじ１
抹茶（茶道のおけいこ用） 大さじ1～3
○しょうゆ 大さじ2
牛乳 大さじ２
水 ２００ｃｃ
☆塩 小さじ１/４
チョコレート 30ｇ
ドライイースト 小さじ1
薄力粉 大１
薄力粉 適量
焼き餅 ４個（好きなだけ）
塩 小さじ2
むき海老 or バナメイ海老むき身 １０～１２個
シーフード（エビ・イカなどお好みで・冷凍でも可）） 好きなだけ
ポン酢 大さじ２
ケチャップ 大さじ2杯～3杯（お好みで）
ニコニコのり「極」 ４袋
小麦粉 少々
塩 少々
さつま芋/里芋 適量
★ブラックペッパー 小さじ1/4
片栗粉 小１/２
砂糖 小さじ１
水溶き片栗粉 適量
カスタードクリーム 適量
とろけるチーズ 適当
◆水 1500ＣＣ
※栗きんとん レシピID:176100参考
牛乳 400～500cc
ピザ用チーズ 適量
漬けだれ 1カップ
もみのり あれば
かつおぶし たっぷり
☆白粒ゴマ 大さじ1
ベーキングパウダー（5グラムの小分け） 1パック
クックパー　クッキングシート 天板１枚分
生クリーム ５０ｃｃ
＊牛乳 大さじ2
シメジ 一房
コンソメ 小さじ1/2
┌にんじんのみじん切り 大さじ１
★しょうゆ 少々
●だし汁 300cc
生姜 小1個
Ｃ ４倍に薄めた３倍濃縮昆布つゆ１００ｃｃ
オリーブオイル（新鮮なもの） 適量
こしょう 小さじ1/4
☆玉ねぎ 小１/２個
みりん 小さじ２
こしょう 少々
７．にんにく微塵きり 大さじ１
バター ４０グラム
ごま 少々
カツオだし 5Ｃ
唐辛子（一味・七味） 適量
水 １・１／２カップ
※酒 大さじ2
砂糖 小さじ1/2
鰹節 適量
すりおろしりんご（皮ごと） １／２個
サラダ油 大さじ１
砂糖 5ｇ
ブラックペッパー 適量
こんにゃく １枚
ねぎ 好みで適量
☆醤油 大２
塩 大匙２／１
白ネギ 　1/2束
グラニュー糖(キャラメル用) 適量
●小麦粉 適量
レーズン（洋酒漬） 大１
サラダ油 小２
塩 ひとつまみ
エノキタケ（なくても） 適量
白ワイン ２０ｍｌ
☆パセリ 大さじ1
サラダ油 適量
胡椒 ０．５グラム
砂糖 ４０グラム
酒 50cc
塩 少々
きざみネギ お好みで
塩 適量
マーガリン 適量
サラダ用野菜（レタス、きゅうり、セロリなど） 適量
●すりおろしニンニク １片 or チューブ1cm
砂糖 大さじ2
片栗粉（仕上げ用） 適量
ハチミツ 　小さじ２
生クリーム 200cc
コショウ 適宜
白ワイン 50cc
中国山椒 一つまみ
　湯 大さじ2～3
└醤油 大さじ１/２
桜海老 大さじ2
ドライイースト ４、５ｇ
ライム（レモン）果汁 小さじ1
青海苔 適宜
こしょう 少々
水 150cc
◎片栗粉 大匙１（＋お水大匙１）
めんつゆ 大さじ1
★塩コショウ 適量
あれば白ワイン 適宜
★酒 大さじ１
　水 50cc
あらびきブラックペッパー 好みの量
サラダ油 小さじ１
(お好みで)レーズン、ドライクランベリー等 適量
パプリカ（赤） １個
牛脂　肉焼き用 適量用意
☆ダイジェスティブビスケット １８０ｇ
にんにくの薄切り １～２枚
赤唐辛子（輪切り）←辛口にする場合 １～２本分（お好みで）
●顆粒だし 大さじ1/2
白菜 ２～３枚
　シュレッドチーズ お好きな量で
卵 ５０ｇ
にんにく ひとかけ
ちりめんじゃこ 適量
◎しょうゆ・みりん・お酒 各大匙1
だし汁 800ｃｃ
水 1.5L
みりん 大3
玉葱 １/２
塩･胡椒 お好み
白ワイン 1/2カップ（100～150ml)
　・酒 　　大さじ1
無塩バター 15g
白ワイン（若しくは酒） 大さじ1
マーガリン 適量
水（ゼラチンふやかし用） 大さじ1
お酢 大匙1～2
切りもち 5個〜
ドライイースト 小さじ１
○ゆずごしょう 小1
にんにく 2片
セルフィーユ（チャービル） 適宜
　卵 1個
白練りゴマ 大さじ2
☆グラニュー糖 大さじ１
ラップ 適宜
☆砂糖 小さじ1
粉チーズ（あれば） 適量
コンソメ 1個
砂糖 ２０グラム
卵黄 8個
ローリエ（月桂樹の葉） 1枚
カブ 350～400g（小カブ7個）
○酒 大さじ１
じゃがいも 中２個
胡椒 お好み（多目が美味しいです）
濃口しょうゆ 大さじ３
バターorマーガリン 適量
しょうゆ こさじ１
チーズ ３０グラム
オリーブ油またはサラダ油 適量
クレソルor黒胡椒 適量
濃口しょうゆ 大さじ３
薄力粉 70g
塩、胡椒、クレソル 適量
●いりごま 適量
マヨネーズ 適量
味の素 適量
シナモン、くるみ(トッピング用)(お好みで） 適量
しょうゆ 大さじ2と1/2
みりん 小さじ1
砂糖（できればザラメ） 大匙1
　水 １９５ｃｃ
オイスターソース 大さじ2
大根 1/3本
アーモンド＆カシューナッツ 10粒づつ
・ 粉チーズ 50g
冷凍枝豆 50ｇ
ドライイースト ４ｇ
★醤油 小さじ1
酢 大さじ5
ごま油 大さじ2
パセリのみじん切り(無くても可) 適量
☆みりん 大さじ2分の1
サラダ油またはショートニング ５ｇ
薄口しょうゆ 大さじ１
塩・こしょう 少々
しょうゆ 適宜
玉葱 1/4個
パセリのみじん切り 適量
★マヨネーズ 大さじ1
水菜 小　１株
油 適量
マヨネーズ 適宜
ケトリング用　湯 ２L
☆干しエビ 適量
ドライイースト ５ｇ
コンソメ顆粒 小さじ1/2
☆唐辛子（薄く輪切り） １本
☆干しエビ 適量
塩コショウ 少々
●ローリエ 1枚
●食紅（赤） 少々
粗引コショウ 多めに
揚げ油 適量
オリーブオイル 大さじ1
バナナ １〜２本　（余った生地の量によって）
味噌 大さじ４～５
しょうゆ 大さじ２
レモン汁 大さじ１
白味噌 適量
しょうゆ 少々
トマト 2個
◆トマト缶詰（角切りタイプ） 1缶
クレイジーソルト（お好みの塩でOK。） 小さじ1～2（お好みで）
小麦粉 適量
《＋味わい仕上げ　好きな味のエッセンス》 小さじ１～
★鷹のつめ 少量
オイスターソース 大さじ1/2(調整を)
たまねぎ ２０ｇ
薬味（ネギ、ゆず、一味唐辛子など） お好みで
味の素のコンソメ １個
みりん 大さじ2
☆酢 大2
干しいたけ ３０g
トマトケチャップ 40ｇ
☆黒ケシの実・かぼちゃの種 適量(トッピング用)
アーモンドプードル 100ｇ
たまご 1コ
BP（ブラックペッパー）、パセリ お好みで
かまぼこ 好きなだけ
卵黄 ２個分
小麦粉 適量
コショウ 少々
炒り胡麻 適量
BP ３ｇ
☆味噌 大さじ3～4
醤油 大さじ１
小麦粉 適量
砂糖 小さじ１
◎　フジッリ（マカロニで代用可） 120ｇ
粉糖（飾り用） 適量
胡椒 適量
油 適量
粉砂糖 適量
※水 ５０ｃｃ
☆牛乳 大匙４
○　みりん 大さじ１
A. 塩 少々
牛乳 100ml
ゆで卵 2個
醤油 大3〜4
バター 少々
ドライイースト ５ｇ
★おろしにんにく（チューブのものでOK） 1cm程度
＊砂糖 大さじ１
粗挽き黒コショウ 少々
＊薄力粉 大さじ2
サラダ油 大さじ1
☆粗挽きブラックペッパー 適量
しょうゆ お好みで
レモン 適量
にんにくのみじん切り 一片分
塩 ふたつまみ
サラダ油 小さじ1
油 適宜
水 500ｃｃ
塩・こしょう 適量
スイートチリソース（鳥肉に掛ける分） 少量
中華スープの素 小さじ１
鶏ガラスープの素 大さじ２
ニンニク 2カケ
アラザン・粉糖 お好みで
☆酒 大さじ2
砂糖 小2
イースト 5g
干しシイタケ 5枚
※　レモン汁 小さじ１
グラニュー糖 50g
シナモン・ナツメグ 少々
めんつゆ 大さじ２
いちご 適量
粒あん 大さじ２
ホワイトチョコレート ７０ｇ
シナモン・レーズン・バニラエッセンス お好みで
胡椒 適量
柚子の皮 適量
塩･胡椒 お好みで
パプリカ 小1
味噌・しょうゆ・酒・みりん 各大匙1
ハラペーニョ お好み
ライム お好みで
菜の花ゆでる時の塩＆ごま油 少々
オレンジの皮 1個分
海苔 好きなだけ
Ａこいくち醤油 50ｃｃ
おもち 人数分。焼く
粉糖・アザラン等 適量
塩コショウ（魚に振る分） 適量
B醤油 大さじ１
醤油 小さじ1～（スープストックの塩分により調整）
水 １００ｃｃ
Ａ　めんつゆ 大さじ１
塩こしょう 少々
◆胡椒 適宜
その他(あさつきやしらすなど) お好みで
☆オイスターソース 小さじ1
水 100cc
卵 1個
サトイモ ３個
油 少量
薄口醤油 大さじ1
ドライイースト 3g(3g)
追い討ち用醤油 大匙1
■だしの素 小１
塩こしょう 少々
グラニュー糖(トッピング用) 適量
角チーズ 130ｇ
オリーブ油（お好きな油で） 大さじ1～2
しょうゆ、砂糖 大さじ２
ドライイースト 5～6g
水 適宜
酒 大さじ1
Ａ：中華出汁の素 小さじ１くらい
水溶き片栗粉 適量
生クリーム 200ml
バター 小さじ１
■こしょう 少々
☆砂糖 大さじ１弱
卵 6個
醤油 大１
オリーブオイル 2-3カップ
キャラメルクリーム（市販品でもＯＫ） 60ｇ
水 400ml
煮豆 適量
バター ２０グラム
☆ にんにく 2かけ
●酒 大１
水 ６０ＣＣ
塩/胡椒/あらびき黒胡椒/サラダ油 各適宜
塩 適量
塩・コショウ お好み
水 大匙3　45ｇ
鶏がらスープの素 小1/2
人参 50ｇ
かつおぶし 適量
☆クレイジーソルト 適量
チョコレート １～2枚
マヨネーズ 大さじ1
えび ５０グラム
ゆず 適宜
しょうゆ 適量
ケトリング用　湯 ２Ｌ
　塩 小さじ1／2
●みりん 大さじ1
ちくわぶ １本
白あん 20ｇ
塩コショウ 適量
ご飯 お茶碗2~3杯
合びき肉 350～400g
ドライイースト ４ｇ
卵 １個
サラダ油 適量
＊味の素 小匙1
砂糖 小さじ１と１／２
☆塩・コショウ 少々
醤油 大さじ２
醤油 大さじ１
③ワインビネガー 大２
レモン 数滴
砂糖 小さじ１
＊ブラックペッパー 適量
昆布 適量
※玉葱 3～4個
白ねぎ　斜め薄切り 1/2本
鶏脂などの油脂 小1
ウエイパー 小１
みりん 大さじ１
生クリーム（植物性可） １／２カップ
スナップエンドウ（ピーマンでも） 1袋
温泉卵 1個
マヨネーズ 大さじ１
＊オリーブオイル 大さじ1
パルメザンチーズ 適宜
★粒マスタード 大匙半分
☆お好みでおろしニンニク 1/2～1かけ
コーン缶詰 １缶（１３０ｇ）
牛豚合挽きひき肉 １００ｇ
☆カットトマト水煮 1缶
塩コショウ 少々
●片栗粉 大さじ1
◆オイスターソース 小さじ1
◎しょうゆ 小さじ１
☆水 100cc
★オリーブオイル 適量
長ネギ 3本
バター 大さじ１
レモン汁 適量
塩 少々
ターメリック 　（カレー粉でも代用可） 大１
片栗粉 小さじ１
味ぽん お好み
みりん 大１
牛乳 大１
★砂糖 15g
しょうゆ 大さじ１
◎醤油 大さじ1
ベーキングパウダー 小さじ1
ネギ(小口切り)or千切り大葉 適量
ラム酒 大さじ2
ネギの白い部分 1 本
トマト缶（カットタイプ） １缶
豆乳 お好みの濃度に溶く分だけ
★マヨネーズ 大５
上に塗る牛乳 少々
鶏肉 ２切れ
ごま油 大１
塩・胡椒 少々
☆ 砂糖 大さじ１・１／２
砂糖 100 g
※　あらびき黒こしょう 適量
塩 少々
お水 少々（蓮根の1/3程度）
玉ねぎ ２分の１個
砂糖 … ７g
●水 50ｍｌ
干し椎茸　※ １枚
☆バター 大さじ4
●鰤 一口大を６切れ
お好みでコショウ 適量
塩 小さじ４分の１
●抹茶 8g
豆乳 ３００ｇ
水 １カップ
★酒 大２
塩こしょう 適量
砂糖 大匙2
　卵(室温に戻す） 50g
塩 少々
　Ｂ砂糖、みりん、しょうゆ 各大さじ2
