■酒 40ml
＊リキュール 小さじ1/2
パセリ 適量
胡椒 少々
■塩 小さじ1/2
☆みりん 大さじ３
★オイスターソース 大さじ１．５
白だし 大さじ１
トマト ２個
薄力粉 ６０ｇ
レモン 1個
みりん 大さじ１．５
だいこん １／３本
卵一人１個 ４個
ごま油 大さじ２
グリーンピース（冷凍・水煮缶） ６０g
　砂糖 大さじ２
B：酒 大さじ１
塩･コショウ・ハーブ 少々
☆グラハムクラッカー（マリービスケット等でも） ８枚
☆固形ｺﾝｿﾒ ３個
水菜 1/2束
みりん 大1
ショウガ 少々
水 ５００CC
●ブロッコリー ８こ
水 １５０ｃｃ
しめじ １パック
ホールコーン（缶詰） 大さじ4
●赤ワイン 大さじ1
ケチャップ 大2杯
だしパック（かつお味） ２パック
砂糖 ３０グラム
酒 大さじ３
フルーツ缶詰 1缶
みりん 大さじ８
●酒 大さじ1
こしょう 少々
バター・オリーブオイル 各大さじ1
片栗粉 大１
みりん おたま１杯分
■醤油 適宜
全卵（Ｍ） １個
チョコorココアパウダー 小さじ1
チリペッパー お好みで
●かつおだし（顆粒） 小さじ半分
白練りごま 大さじ1
さつまいも 200ｇ～250ｇ
ピザ用とろけるチーズ 適量
塩、こしょう 各少々
パン粉 適量
生姜チューブ １～２ｃｍ
砂糖 10グラム
ココア粉末 大２と1/2
揚げ油 適量
小麦粉 大匙１くらい
キウイ お好み
はちみつ 小さじ１
塩、胡椒 少々
小麦粉 適量
玉葱 小１個　薄切り
うま煮 めんつゆ使うと便利
水溶き片栗粉 少量
赤色素 ピンク色になるくらい　かなり少量です
■　生姜汁 大さじ1～2杯
水 大4
◎おろし生姜（チューブOK) 小さじ１
油 大さじ２
酒 大２
塩コショウ 少々
きざみねぎ、七味唐辛子、柚子皮等 適宜
醤油 大さじ6
A,水 1と1/2カップ
鶏ガラスープの素（粉末だし） 大1/2
オレガノ お好みで
バター 8g
☆ごま油 適宜
　ウィンナー 大１本
塩・胡椒・油 適宜
A：水 カップ1/2
濃口醤油　 　大さじ１
塩、胡椒 適量
☆みりん 大さじ1
卵 1個
ネギ(小口切り) 適量
レタス ２～３枚
パセリ　冷蔵庫残りモン 適量
薄口醤油 大匙1
醤油 大さじ４
✭お好みのハーブソルト 適量
＊とろろ昆布 約大さじ2
片栗粉 小さじ１
＊酒 大さじ2
水（お湯） ５０CCぐらい
☆ナンプラーまたはヌクマム 大さじ1〜適量
胡椒 ０．５グラム
◎酒 大さじ1
塩、こしょう 少々
くるみ 60ｇ
バター（もしくはマーガリン） ２カケ
サラダ油(型に塗る分) 適量
コンソメキューブ 1個
水 50ｃｃ
白だし 大匙５
ドライクランベリー 1/2カップ（お好みで）
★赤ワイン １２０ｃｃ
ケトリング用　湯 ２L
ラー油かごま油 少々
グリンピースなど いろどりとして飾る
カボチャ 3.4きれ
水 トマト缶に２杯分（１ℓ弱）
ウスターソース ひとまわし
鶏団子の茹で汁＋水 ４００ｃｃ
アスパラガス 2本
＊＊すりおろしショウガ ごく少量
ごま油 小さじ１
オリーブ油 大1.5
デンデオイル 大さじ１
生クリーム 200ml
青菜 彩りに適量
にんじん １／２本
●醤油 大匙２
塩 小さじ山盛り1
★水 小さじ１/２
ナツメグ 小1/2
こんにゃく（黒） 1枚
牛乳 50ＣＣ
ウエイパー 大さじ2
☆砂糖 大さじ２
紅しょうが ひとつかみ
いんげん ４～５本
三つ葉 彩りに少し
◎水 3カップ
　キャベツ 適量
塩・コショウ 適量
ａ　醤油 小さじ１/２
ピザ用チーズ 1/2カップほど
水(硬さ調節用) 200ｍｌ程度
レモン １個
（味を見て、塩 適宜）
■昆布茶 小1/2
マヨネーズ 少々
ベーキングパウダー 小さじ１
〇無調整ココア 大匙１（約５ｇ）
みりん 大さじ２
中華三昧広東風拉麺 １袋
オリーブオイル 大２
サラダ油 大さじ１
ｾﾛﾘ 1本
●ディル（乾燥）orお好きなハーブ 小さじ１/３～１/２
　　　●砂糖 大1
○酒 大さじ2
だしの素 小さじ１
砂糖 お好みで
砂糖 小１
オレオビッツサンド(４連になった小袋です) １袋
オイスターソース 小さじ１
☆辣油 大さじ３
味の素 少々
胡桃・ヘーゼルナッツなど 適量
サラダ油 少々
醤油 おおさじ2
豆乳 40ｃｃ
ローリエ 2枚
醤油 適宜
鶏もも肉 ８０ｇ
牛乳 ２００ｃｃ
塩 小さじ1/2
おもち ４個
蜂蜜 大さじ1
タマネギ 1個
醤油 少々
◎塩 一つまみ
しめじ 半パック
　　だしの素 ２ｇ
しょうゆ 大さじ３
マヨネーズ お好みで
普通の竹輪 3本
粉糖 30g
レモン汁 １５ｍｌ
マヨネーズ 適量
酒（塩が入ってないもの） 大さじ１
牛乳 ６０ｃｃ
茹でじゃが芋 2個　　　3等分にカット
砂糖 大さじ２
アーモンドスライス（お好みで） 適量
★胡椒 少々
もめん豆腐 1/3丁
☆三つ葉 お好みで
グラニュー糖 ５０ｇ
塩 小さじ1/4
●薄口醤油 大さじ３
絹さや 適量
黒煮豆 黒豆･砂糖･醤油等
サラダ油 適量
水 １と4分の３カップ
胡椒 ０．５グラム
バター 60ｇ
切り出し昆布 ５枚
三つ葉 適宜
昆布巻き 買ったもの
ケトリング用　砂糖 大さじ２
★ターメリック 小さじ１
大根(輪切り薄切り) 12枚～
本みりん 適量
オレオ ５枚位
にんにくすりおろし 2片分
きぬさや 少量
クリームチーズ 120gくらい
だし汁  6カップ
☆しょうゆ 大さじ２
カルルダモン 小さじ2
◆薄口醤油 小さじ１
　醤油 小さじ4
米のとぎ汁 適量
塩 適量
絹さや 適宜
みりん 100cc
金時人参（京人参） 適量
★椎茸の戻し汁 １００ｃｃ
<<昆布巻>> ４個
バター 30ｇ
こんにゃく 適当
ゴマ 少々
★片栗粉 大さじ１
チキンコンソメスープ 400ｃｃ
チョコペン 適宜
人参おろし たっぷり
☆ベーキングパウダー 小さじ1.5くらい
とろけるチーズ 好きなだけ
水 800cc
ケチャップ 大さじ1/2
※　醤油 ひとたらし
☆酒 大さじ1
薄力粉 40g
ホワイトチョコ ３０ｇ
☆白菜 少々
ｸﾞﾚｰﾌﾟｼｰﾄﾞｵｲﾙ 小さじ2
★酒 大1
いくら 適量
グラニュー糖■　 ４０ｇ
だし昆布 ５ｃｍ
揚げ油 適量
生クリーム ２００ml
ハーブ あればお好みで
豆腐クリーム レシピID:1001655 参照
胡椒 適宜
●白玉粉 １００ｇ
ナツメグ 3～4振り
ナツメグ 3～4振り
水 100ml
クミン 適量〔小さじ1くらい？〕
ごま油 小さじ1
ローリエ 2枚
●リッツ(ｸﾗｯｶｰ) 15枚
大根 1/4本
塩・コショウ 少々
塩 ふたつまみ
B醤油 大匙5
生クリーム ２００ｇ
サーモン（刺身ＯＲスモーク） ２０枚程度
☆こしょう 少々
にんにく １かけ
クレイジーソルト 少々
生クリーム（牛乳でも可） 大さじ2
好みの香料(無でもOK)...★ 適量
☆しょうゆ ２５cc～３５cc
昆布 ５cm
●きんとん １００ｇ
くるみ ３０g
塩 ひとつまみ
　Ⅳピザチーズ 小１袋
栗 2個
●アーモンドプードル 20g
水 適量
ベーコン(５㎜角に切る) ５０グラム
にんにく １かけ
パン粉（衣用） 適量
豚肉 100ｇ
☆塩 少々
醤油 大１
☆酒 大さじ１
ネギの青いところ 1本分くらい
白ごま 適量
しょうゆ 適量
ニンニク ２片分
バターor  オリーブオイル 適量
ブルーベリー 10粒
◎レモン汁 大さじ１
チョコチップ カップ2/5
セロリ 1/4本
オイスターソース 大さじ１
●かたくり粉 大さじ2
オリーブオイルorサラダ油 大さじ1
◇本だし 少々
湯 400cc
白ごま（すりごまでもOK) 少々
塩 適量
卵 ３個
チョコベビー（チョコチップ、刻んだ板チョコ） 大さじ２
レモン汁 適量
☆ツナ缶（８０ｇ） １缶（水分を切る）
昆布巻き きょうの料理より
★砂糖 大さじ１
☆おろし生姜 1片分
いなりあげ(市販のもの) 1袋
バター 10g
薄口しょうゆ 大匙１杯
にんにく １かけ
ナツメグ（★） 少々（お好みで）
・ 酒 大さじ1
トッピング‥海苔/バジル/オレガノ お好みで♥
バター 15ｇ
酒 1/2カップ
バター ３グラム
水 ９００cc
コーヒーフレッシュ 3個
ローリエ 1枚
◎塩 小さじ1/2
塩 適量
オリーブオイル 適量
☆クローブ 3粒
☆粒白こしょう ２０粒
乾燥にんにく １０枚
トマトピューレ 大さじ2
しょうゆ お好みで
りんご 1個
粒状だし 大さじ２杯
塩コショウ 少々
くるみ ２０ｇ
いりごま 少々
ホイップクリーム（植物性４５%） ５０ｃｃ
はちみつ お好みで
溶けるチーズ 好きなだけ
オリーブオイル 適量
ごま油 少々
とろけるチーズ お好みで
豆腐 1丁
レモン汁 小さじ３
●塩 小さじ２分の１
☆しょうゆ 大1.5杯
☆うまみ調味料 少々
☆みりん 大さじ１
レモン ４分の1
◎みりん 大さじ３
イタリアンシーズニング 少々
醤油 少し
おろしニンニク 小さじ1/2
醤油 大５
●胡麻油 大さじ1/2
○砂糖 小さじ1
サラダ油 小さじ２
☆こしょう 少々
マロン（栗の甘露煮） 10粒
プロセスチーズ(ベビーチーズ) 70g
ピザ用チーズ 適量
米酢 適量
糸みつ葉 １把
生椎茸 ４個  
しいたけ ４枚
中濃ソース 大さじ1杯
万能ねぎ（小口切り） 適量
塩・カレー粉 少々
水菜 適量
焼き肉のタレ 大さじ３
塩・こしょう 少々
炒りごま 適量
生卵 ２コ
◆しょうゆ 大さじ4
コンソメ 1個
お好みの具 適量
白だししょうゆ 1.5カップ
☆ゴマ油 大さじ1
卵白 1個分
パセリ 少々
＊ナツメグ 少々
水 100ml
塩・コショウ 少々
│椎茸のみじん切り 大さじ１
★わさび 少々
●酒 大さじ1
醤油 大さじ２
にんじん（ねじり梅） ８枚
シザードレッシング（マヨネーズ系のもので可） 適量
玉ねぎ 小1/4個
☆塩こしょう 適宜
バター １０ｇ
ビスケット １００グラム
醤油 80ｃｃ
※みりん 大さじ1
パン 1枚
マヨネーズ 適量
醤油 大さじ1
かつおぶし 少々
その他（丸天・竹輪・厚揚げ・ごぼう天など） 食べられるだけ
春菊 １袋
☆水 ２００ｃｃ
中華めん ３玉
おろし生姜 　小さじ1/2
水(キャラメル用) 適量
●卵 1個
オリーブ（アンチョビ詰め） １０個前後
はんぺん（大）　95ｇ 1枚
おあげ、蒲鉾、ワカメ等 お好みで
黒胡椒 ０．５グラム
☆レモン汁 大さじ2
薄力粉 小さじ１
塩 ０．５グラム
醤油 大匙1 
こしょう 適量
生クリーム 50ｃｃ
しょう油（仕上げ用） 適量
レモン果汁※合成レモン可 大さじ１　
抹茶 3g
オレガノ・タイム・バジル パラパラ
塩コショウ 少々
┌水 ２５ｃｃ
強力粉 ふるう用
ピンクペッパー 適宜
ソース 適宜
水 50cc
☆ご飯 お茶碗一杯分くらい
塩 小さじ1/2
サラダ菜 4枚程度
油 適宜
★ほんだし（市販） 小さじ１
　蜂蜜（又は砂糖） 大１杯
大きめの卵焼き器 なければ普通サイズ
塩コショウ、オリーブオイル 適量
カレー粉 小さじ１/４
●砂糖 小さじ3
バター ５～１０ｇ
　たらこ １／２腹
牛乳 １２５ｇ
はちみつ 小さじ１
プロセスチーズ（今回はスティック使用） 5本
好きなお野菜 適量
（薄口）醤油 小さじ4～　あれば利用
◎醤油 大さじ2
酒 大1.5〜2
にんにく １片
乾燥バジル お好み
赤ワイン 1/2カップ（100～150ml)
　・塩 　　小さじ1
くるみ（他で代用可） 100g
トマトペースト 大さじ1
牛乳 50ｃｃ
胡椒 お好みで
三つ葉 飾り用
◎マヨネーズ 大1
　生クリーム 200ml
塩コショウ 少々
●みりん 大さじ1
●バター 大さじ２
ピザ用チーズ 一掴み
水 ４０ｃｃ
パルメザンチーズ 60g
ドライハーブ お好みで
塩 少々
○しょうが チューブ１～２ｃｍ
にんじん １本
Freied French Onion（フライドオニオン） お好み
みりん 大さじ半分
粗挽き黒胡椒 少々
みりん 大さじ１
強力粉 30g
◎パン粉（細かいほうが◎） 適量
野菜（食べやすいようにせん切りにしておく） 好きな野菜でOK。キュウリ、ニンジン、リンゴ
チーズ 適量
牛乳 ２００ｃｃ
だし汁 1/2カップ
ごま油 小さじ1
ニンニク（包丁の腹でつぶしておく） 2片
　○クリームチーズ 大匙４
塩、こしょう 少々
ニンジン 1/2本
りんご 1個
・ パン粉 20g
●しいたけの戻し汁 １カップ
粒あん 適量
★砂糖 小さじ1/4
しょうゆ 大さじ5
ごま油 大さじ1
無塩バター ５ｇ
塩 適宜
油揚げ（薄揚げ） 2枚
サラダ油 大さじ１～２
★醤油 小さじ1/2
豆腐 1/2丁
ケトリング用　砂糖 大さじ２
塩 少々
チョコレートクリーム(市販品) 適量
ライスペーパー 8枚
☆唐辛子の粉（お好みで） 適量
塩 少々
水溶き片栗 大さじ１
●白ワイン 大さじ2
●水 ９０～１００ｃｃ
塩 適量
レタス　※１ 適量
ねぎ 少々
水 １．５Ｃ
玉子 ２個
カブの葉(あれば) 適量
ごま油 少々
ガルバンゾ豆 240g
◆コンソメ 1/2個
マヨネーズ 小さじ2
パン粉 適量
▲鶏がらスープの素 小さじ1．5
ごま油 適宜
えのき １０ｇ
塩 一つまみ
小麦粉 大さじ1
☆砂糖 大2
とろけるチーズ 1枚
ゆず 好きなだけ
（ﾒﾚﾝｹﾞ用）卵白 ２個分
サラダ油 少量
マヨネーズ 適量
醤油 小さじ2
一味唐辛子（出来れば韓国のもの） お好みで
パン粉 適量
薄口醤油 小さじ１
ピザ用チーズ 適宜
味噌 小1
※粉ゼラチン ８ｇ
☆塩 小さじ１～1.5
○　砂糖 大さじ１と1/2
お湯 50ml
マヨネーズ 大さじ2
　ラム酒 大さじ１
カスタードクリーム(市販品) 適量
柚子胡椒（トッピング） お好みで
ナツメグ 少々
鶏ガラスープの素 小さじ2
コーン 適量
うすくち醤油 小さじ１
ニンニク(潰した物) 1片
水 約３カップ
カシューナッツ（フライパンで炒る） 少量
濃口醤油　 　大さじ２
お湯 500cc
ねぎ 1～2本
☆みりん 大さじ1
天かす(好みで) 大8
だし汁 5カップ
※　いりゴマ 小さじ１
ダークブラウンシュガー（黒糖） 30g
ブルーベリー 適量
粒あん ５０ｇ
グラニュー糖 １０ｇ
オリーブオイル 大1
水溶き片栗粉 水と片栗粉各大匙2
ライム 絞り汁2個分
塩 ひとつまみ
Ａうすくち醤油 30ｃｃ
出汁 ６００ＣＣ
ソース　ゆで卵 １個
Bウスターソース 大さじ１
EVオリーブオイル 大さじ2
〇とんかつソース 大さじ２
Ａ　酒 大さじ２
溶けるチーズ 少々
◆ブイヨン 2個
☆ブラックパッパー 適宜
長ネギ １本
b　だし汁 １/４カップ
すりごま 少々
追い討ち用みりん 大匙2
固形ブイヨン １～２個
飾り用角チーズ 適宜
水 50cc
みりん 大さじ１
玉子 1個
Ａ：酒 大さじ１くらい
砂糖 10g
粗挽き黒胡椒 お好きなだけ
◇餃子の皮 １袋
☆みりん 大さじ１
砂糖 100ｇ
ｵﾘｰﾌﾞｵｲﾙ ５０cc
ローズマリー 4-5枝
砂糖 40ｇ
コンソメ・塩 各大さじ1
生クリーム １００ｃｃ
☆ しょうが 1かけ
●トウバンジャン 小１
ゆずの汁 ２０ＣＣ
こしょう 適量
ケチャップ 大さじ2
オリーブ油 小匙1
塩こしょう 少々
ごま油 小1
だし汁 3カップ
レモン薄切り 適量
パン粉 大さじ3
にら １／４袋
焼きもち 適宜
ケトリング用　砂糖 大さじ２
　だし汁（あれば煮しめの煮汁） 大さじ2
●はちみつ 大さじ1
すりごま 好きなだけ
イチゴジャム 15ｇ
パスタ 3人分
卵 2個
玉ねぎ 1/2コ
ピーカンナッツ ６０ｇ
牛乳 100ｃｃ
＊塩コショウ 適量
ピザ用チーズ １／２カップ
酒 大さじ１
④サラダオイル 大６
チェダーチーズ 20g
深ねぎ 1/2本
＊醤油 適量
鰹節 適量
ニンニク お好みで(我が家は大さじ1くらい)
塩こしょう 少々
ラード（あれば、なくても） チューブ2センチ位
酒 大さじ１
バター（マーガリン可） ４０ｇ
たまねぎ（小さめ） 1個
和風ドレッシング（市販） 適量
炒りゴマ 適量
塩、胡椒 適量
水 ２００ｃｃ
豆腐 １００ｇ
☆コンソメキューブ 2〜3個
●水 適量
◆酒 大さじ2
◎塩コショウ 適量
水溶き片栗粉 適量
★ドライパセリ 適量
塩 大１/３
シュウマイの皮 ２袋
ゆず胡椒 お好み
ニッスイおさかなのソーセージ（花用） 半分
★トレハロース(なければ砂糖を全量20gにして下さい） 10g
おろしにんにく 少量（小さじ1/8くらい）
◎お酒 大さじ1
揚げ油 適量
七味 適量
黒豆のお汁 40ｇ
☆鶏がらスープの素 小さじ1
白ワイン ５０ｃｃ
ベビーリーフ・水菜・大根・玉葱など お好きなだけ
★牛乳 大３
トッピング用スライスアーモンド 少々
しいたけ ２切れ
揚げ油 適量
☆ みりん 大さじ１
小麦粉 適量
胡椒 少々
にんにく ２かけ
チョコソース … お好みで
○水 ３カップ
青菜　※ １枚
☆牛乳 100cc
☆里芋 輪切り６枚
こしょう 適量
醤油/酒/みりん 各大さじ２
★鶏ガラスープ ２００ｃｃ
オイスターソース 大匙1
　ｱｰﾓﾝﾄﾞﾌﾟｰﾄﾞﾙ 45g
玉子 10個
パン粉 適量
醤油 大さじ１弱
★牛乳 適量
オリーブオイル 大さじ２
ドライイースト 4g（デニッシュコースなら3g）
しょうゆ 適宜
おろししょうが 大1
＊卵 一個
豆板醤 大さじ1
●みりん 大さじ２
小麦粉 1/2カップ（50g）
水 600cc（3カップ）
葱の青い部分 1～2本
●ニンニク（チューブ） 適量
砂糖 大１
バルサミコ酢 大さじ1
ラム酒 大さじ1
塩・こしょう 少々
酒 大さじ1/2
☆片栗粉 小さじ１
　*鷹の爪 1本
酒・みりん 各大さじ2
●コンソメ 1個
塩こしょう 少々
B　酒・水 各大さじ２
卵 ２個
＊酒 大１
にんにく 一片
●ヨーグルト 大1
飾り用プルーン 10個くらい
☆オリーブオイル☆ 小さじ２
コンソメ 2個
水 1000ｃｃ
マヨネーズ 適量
レタス 適当
ケチャップ 適量
食緑 付属のスプーン１杯（耳かき１杯）
★醤油 大1
オリーブオイル ９０ｍＬ
☆ソーセージ ６本
砂糖 小さじ１　　（小さじ１/２）
鰹顆粒だし 小さじ1/2
酒 大1
チーズ（溶けるタイプ） 80g
にんにく ひとかけ
片栗粉 大さじ1
チョコレート ３０ｇ
バジル ７〜８枚
牛肉 150g
小ねぎ 少々
もみのり 適量
刻みのり 適宜
新聞紙 数枚
塩・コショウ 適量
仕上げ用塗り卵 1/2個
水 1カップ
こしょう 適量
◆付け合わせのお野菜 適宜
くるみ ６０ｇ（お好みで）
塩 少々
塩 ひとつまみ
B、コーヒークリーム 3個
フレッシュ 適量
ポン酢 適量
薄力粉(衣用) 適量
ケトリング用　砂糖 大さじ２
豚挽き肉 100g
絹さや(茹でたもの) 4枚
砂糖 少々
●水 600ｃｃ
酒 大さじ１
小麦粉 大さじ1
胡椒 少々
塩 ひとつまみ
★にんにく摩り下ろし 1カケ分
●しょうがスライス ３枚
仕上げ用：ぽん酢 適宜
★旨かたれ 50ｃｃ
塩こしょう 適量
ねぎ 10cm
塩こしょう 少々
塩 適宜
ねぎ お好みで
※みりん 大さじ2
薄力粉 30ｇ
バター(またはマーガリン) 小さじ１
◎八丁味噌 大さじ1弱
たまねぎ 半玉
水 １Ｃ
みりん 小さじ1
水 1000cc
卵 1/2個
水溶き片栗粉 大さじ1
ローリエ １枚
油 大さじ1　（ハンバーグ焼き用）
ごま油 大さじ1/2
餅 2個
お湯 ２L
醤油 1/4カップ
●ケチャップ 大4
とろけるチーズ １枚
サラダ油 大さじ1
オレガノ、ハーブ 少々
白ワイン 大さじ2
にんにく １かけ
鶏肉 1枚
砂糖 大さじ2
バター ３０グラム
★ニンニク、生姜（練りチューブ） 各１ｃｍくらい
こしょう 少々
水 大さじ2
◎粒マスタード 小０．５～
　　バニラエッセンス 少々
水 1/2カップ(適宜調整)
塩 少々
●薄口醤油 大1
ゆず胡椒(チューブ) 2～3cm
卵 ２個
●薄口醤油 大2
たまねぎ、パプリカ、カブなど 適量
塩コショウ 適量
　　・小麦粉 大さじ２
酢 小さじ１
薄力粉 6g
水 ひたひたに浸かるぐらい
にんじん 小半分
ネギ（または小口ネギ） 適量（お好みで）
表面に塗るバター 大さじ1
◎ナッツ（あれば3種類くらい） 各20g
醤油 大さじ３
Ｃ　酢 小さじ１/２
塩コショウ 少々
サラダ油 大さじ１
☆鶏がらスープの素 小１
塩・こしょう 適量
オリーブオイル 適量
醤油 大さじ１.５
にんにく（チューブ） １cm
こしょう 少々
薄力粉 30グラム
好みのスパイス 少々
水菜 少々
焼きそばに付いている顆粒のソース １袋
植物性生クリーム ９０ｃｃ　／１３５ｃｃ
牛乳 75cc
味噌 大さじ1
★椎茸 2枚(スライス)
干しエビ 大さじ６
塩、白ワイン、パルミジャーノ、仕上げのEXオイル 適量
メープルシロップ ２０ｍｌ位
黒胡椒（トッピング） お好みで
ごま油 大さじ２
みそ 大さじ３
ブロッコリーの芽 1パック
酒 大さじ４
好みの焼き肉のタレ 大さじ５～６
●しょうゆ 大２
マスカルポーネに入っていたエスプレッソソース １袋
　油 適量
卵 1個
砂糖 大さじ1/2
しょうゆ 大1
たまねぎ（みじん切り） 1/2個
ドライイースト 2.5ｇ
砂糖 ８０ｇ
＊お湯 １５０ｃｃ
塩 小さじ3
みりん 大さじ2
パセリ・ブラックペッパー 少々
マヨネーズ 適量
お好みソース 適量
麺 適量
えのき 1袋
お好み焼きソース（市販） 適宜
☆片栗粉 大２
ベーコン（一口小の大きさに切って） ３～４枚
オリーブオイル 大さじ1/2～
コンソメキューブ 1個
ドライイースト 小１
◇砂糖 ひとつまみ分
大葉（あれば） ２～３枚
★生クリーム 適量
黒豆煮 1カップ程度
レモン汁 適量
ごはん 茶わん２杯分
○牛乳 大さじ2
だいこん １／２
◎オーブンで軽くローストした胡桃 50g
卵 １個
○インスタントコーヒー 小さじ２
塩 一つまみ
顆粒だしのもと 大さじ1
●砂糖 小3
黒こしょう お好みで
みりん 大1
酢 大さじ1
塩コショウ 適宜
卵 1個
醤油 大さじ1
砂糖 小さじ1
牛乳 ２カップ
ｻﾗﾀﾞ油(炒め用) 適量
味の素 少々
銀杏 4つ
砂糖 小さじ1
酒 4杯
冷凍たこやき １５個
冷凍パイ皮 適量
●ローリエ 1枚
★こいくちしょうゆ 大さじ１と１/２
☆砂糖 大さじ１
胡麻油 小匙1程
酒 少々
　・砂糖 小さじ1
みりん 大さじ2
市販のおろしポン酢 適量
ワイン 大匙１
スライスチーズ １枚
薄力粉 大匙3
濃口醤油　 　大さじ１
ミックスゼリー、アラザン、マーブルチョコ お好みで
☆くるみ １００ｇ
ゆで卵 ２個
生姜      ２片
塩、コショー、ガーリックパウダー 少々
片栗粉 大さじ１と1/2
塩 ひとつまみ
卵 １～２個
オリーブオイル 大さじ1
牛乳 ２～３カップ
☆醤油 大さじ4
乾燥パセリ 適量
砂糖 大さじ２
オリーブオイル 大匙２
オリーブ油 適量
ごま油 大さじ１～２
ラム酒 15cc(大さじ1)...7.5%
ﾄﾞﾗｲｲｰｽﾄ 少1
卵黄 1個分
はったい粉(打ち粉用） １５ｇ位
キャラメルクリーム（２４３６３７） ５５ｇ
卵 2個
ケトリング用　砂糖 大さじ２
片栗粉 小さじ２
ベーコン（薄切りハーフ） ３枚
水 3と2/1カップ
パスタ 2束(200ｇ)
☆にんじん １／２本
椎茸 2枚
[磯辺] *****
ポン酢 適量
ﾏﾖﾈｰｽﾞ 適量
小麦粉 適量
コンソメスープの素 お好みで
にんじん 1/3本
☆濃い口しょうゆ 50ml
生クリーム 200cc
固形スープの素 2個
☆ 砂糖 大さじ 2
ﾏﾖﾈｰｽﾞ 大匙2
ねりごま 大さじ２
水溶き片栗粉 少々
　　ベーキングパウダー 小さじ1/2弱
＊マヨネーズ 小さじ1
パン粉 大さじ2
☆黒豆（甘く煮たもの） 適量
味噌 大さじ1弱
■水（とろみ分） 60ml
青のり 小さじ１
おたふくソース 大匙1
牛乳 お玉２~３杯分
人参 少々
シエロ（エクストラバージン）オリーブオイル ４分の１カップ
オイスターソース 大さじ1
パプリカ(赤) 1/4個
いくら 少々
こしょう（出来ればあらびき） 小1
◆溶き卵 １／２個分
グラニュー糖 １０ｇ
＊かんぴょう 50cmくらい
ベーコンスライス 2枚～
　野菜 適量
☆塩 小さじ1/2
薄口醤油 小１
豚バラ薄切り １００g
★しょうが チューブで１～２センチ
にんにく 1/2片
シナモン 小さじ１/２
◯しそ（千切り） ４枚
塩 少々
塩、白胡椒 適量
黒砂糖 ６〜７片
ごま油 大さじ１
溶けるチーズ ２枚
煎り白ごま 適量
●ごま油 大1
生姜 適量
かつお節 1/2～1パック
C白菜キムチ 50g
大葉 好きなだけ
☆お酢 大さじ１
●ベーコン 適量（今回はブロックのもの）
マスタード 小さじ１
ニンニク 1片
鶏ガラスープの素 大さじ１
オリーブオイル 適量
ご飯 4杯分
めんつゆ 大さじ１
