うどん(ゆで) 2玉
バター（マーガリン） 140グラム
だし汁 大さじ1
葱 １本
砂糖 60g
こしょう 適量
柚子の皮 １／２個分
さやえんどう 小１パック
ごま油 大さじ１
★みりん 大さじ1
●醤油 小さじ１
●塩 ひとつまみ
塩胡椒・だしの素 少々
玉ねぎ 2個
●白ワインビネガー（or酢） 大さじ１
水 １カップ
★おろしにんにく 小さじ1
ごま油 適量
塩・コショウ 少々
重曹 こさじ1/3
水 １Ｌ
玉ねぎ 1/2個
酒・みりん・サラダ油 大さじ１
塩 適量
ごま油 適宜
すりおろし生姜（チューブ可） 小さじ２
卵白 1個分
●みりん 大さじ1
酒 １００ｃｃ
ココアパウダー 大さじ１
ピクルス(液ごと) 200g(ピクルス液含む)
鶏がらスープ 大１
☆卵☆ ３個
日本酒 100　ｃｃ
砂糖（我が家はてんさい糖） 大さじ１
アーモンドプードル 100ｇ
バター 少々
輪切りの唐辛子 飾り用（なくてもよい）
ラム酒 大さじ1
☆パン粉 適量
レモン汁 大さじ１
醤油 50㏄
みりん 50cc
生姜 一片
しょうゆ 小さじ１
キャベツ・長ネギ（冷蔵庫の余り野菜でもＯＫ 合わせて100gくらい 
合わせ酢 100cc
酢 大２
みりん 大さじ4
白桃缶 １缶
コーンスターチ 大さじ2
さといも １０個
みつば お好み量
みりん 大さじ2
薄力粉（このうち20gを全粒粉にしても◎） 170g
砂糖 大さじ3
油揚げ ３枚
生クリーム １箱(200ml)
かまぼこ ８切れ
ドライイースト 3g
塩 ０．１グラム
酒 大匙1
ココア(無糖) 10g
水 １・８リットル
バニラエッセンス 数滴
ミニトマト ８個
切り餅（角） ４コ
豆もやし 半束
チキンブイヨン（粉末） 小さじ１／４
牛乳（今回は豆乳） 100cc
塩 適量
A　／　みりん 大さじ 1
マッシュルーム 1パック(10個～)
プルーンジャムやカルピスなど色付け用 小さじ１
サラダ油orオリーブオイル 適量
中華スープの素 大1～2
★白髪ネギ 5ｃｍ程度
塩 ０．１グラム
サフラン ひとつまみ
　　みりん 大さじ１
干し椎茸 4枚
酒 大さじ2
生クリーム 200ml
酒 大さじ１
砂糖 大さじ１
シエロエクストラバージンオリーブオイル 大さじ1
柚子の皮(又はみかんの皮) 少量
●バルサミコ酢(または酢) 大さじ１
干し椎茸 大きめ2枚
ラー油 お好みで
みりん 大さじ１
バター 90ｇ
サラダ油 大さじ１
卵黄 ３個分
★しょうゆ 大さじ1
ゆず １個（45g）
水 １／２カップぐらい
のり 適量
グラニュー糖（お好みで） 小１
白ワイン 100ｃｃ
水（顆粒だしとまぜる） 大さじ２
冷凍の里芋 500g
醤油 小匙１
バター 120g
しょうゆ 大さじ２
★レモン汁 大さじ1
（ゆず風味にしたいとき）ゆずの皮 すこし
栗の甘露煮のシロップ 150cc
えのき 1/5パック
醤油 適量
薄力粉 ９０ｇ
柚子の絞り汁 １個
卵白 2個分
■いりこ 大１0尾くらい
海苔 ２枚
人参 一本（梅型に）
紅白かまぼこ(買) 市販の物適量
くるみ たっぷり
　* しょうが汁 少々
お湯 大さじ2
干し椎茸 6枚程度
★ハイミー 適量
油 適量
オリーブオイル 小さじ１／２
クラスト型 1個
塩 小さじ2/1
白味噌 大さじ５～６杯
★酒 大さじ3
人参 少々
シエロオリーブオイル １２０ｇ
お酒 小2分の１
紅白なます ID　７０７３４７
三つ葉 少々
キャラウェイシード 小さじ２
カロリー 約340kcal
★ガラムマサラ 大さじ１
バニラオイル 数滴
鶏もも肉 1枚
昆布 適量
☆甘露煮シロップ お好みの量
◎生クリーム １００ｍｌ
黒豆・昆布・佃煮・酢ごぼう 既製品
白ごま 大さじ2
☆こんにゃく 1枚
薄力粉 130-140gくらい
煮しめの金時人参 適量
こんにゃく 半枚
×ラズベリークランチ 市販・適宜
油 大さじ１
塩 小さじ1/2杯
昆布のだし汁 適量
牛乳 120㏄
醤油 小さじ２
昆布のだし汁 適量
酒 小さじ１
パン粉 少々
(適宜)牛乳 大さじ1
■ブラックペッパー 小さじ1
○めんつゆ 大さじ２
○砂糖 大さじ１
◆お餅 ８切れ（角餅）
　すりごま 大さじ3～4
○水 ７０ｃｃ
みつば １／２束
●醤油 大さじ５
かつおぶし 適量
塩 少々
★アーモンド 6-7個
●みりん 大4
いりゴマ 大さじ2
オリーブオイル 小さじ1
サトイモ 大４個
　　塩 小さじ2/3
酢 大さじ1.5
みりん 大さじ１
クローブ 1粒
塩 少々
オートミール ６００ｇ
水菜 １株～お好みで
鶏肉 好きなだけ
ラム酒（あれば、なくてもOk） 大さじ１/２
じゃがいも 小1個分くらい
おもち 5個
白玉団子、餅 適量
ドライイースト 小さじ1
★みりん 大さじ１
レンコン 適当
☆麺汁 大さじ４(お好みで調節)
A　／　酒 大さじ　1／2
サラダ油 少々
ワイン 小匙1
★砂糖 大さじ1.5〜2
きな粉 小さじ１
塩 小さじ１．５～（お好みで）
Aスキムミルク １２ｇ
にんにくスライス １/２かけ
生姜すりおろし 小匙大盛り1程
オリーブ油 小さじ２
バニラオイル 5滴くらい
片栗粉 大さじ２
胡麻 適宜
粒マスタード 小1
●みりん １００ｃｃ
塩こしょう お好みで
パン粉 ７０ｇ
乾燥アミエビ(または乾燥桜海老) 大さじ2
赤ワイン 180cc
塩 適量
※　中華あじの素 大さじ１
☆だしの素 小さじ1と1／2
ﾓｯﾂｧﾚﾗﾁｰｽﾞ ﾋﾟｻﾞ用ﾀｲﾌﾟ
ピザ用チーズ たっぷり
☆ココア １０ｇ
☆里芋 小さいのふたつ
水 材料ひたひたぐらい
白ワイン 大さじ１〜２
◇昆布のもどし汁 200cc
えのき 袋半分
豆板醤 小さじ１～２
カラメルソース(ゆるめ) 適量
コンソメ 適宜
苺 10個
薄力粉 ８５ｇ
卵 １個
酒 １０ｍｌ
★サラダ油 大さじ1
◎バニラエッセンス 適量
B水 大さじ１
パスタ茹で汁 ２０ｍｌ
☆小麦粉 適量
オリーブ油 適量
★レモン（汁） 1/2個（飾り用に薄切り1枚残す）
スパイス 適量
卵 １こ
じゃがいも ６個くらい
男前豆腐 １６０ｇ
ニンニク 6粒位
コンデスミルク １０ｇ
☆黒コショウ 適量
スイスミスココアミックス ２袋（大体正味５６ｇ）
＊豆乳 1/2カップ
練乳 大さじ１
生クリーム 100cc
水 ３０ｃｃ
牛乳 大さじ1
醤油 大さじ1/2
☆みりん 大１
オリーブオイル 大さじ1
（あれば）ローリエの葉 １～２枚
玉ねぎ 1個
レモン汁 小さじ1
卵 1個
☆ピザ用チーズ 適量
水 適量
黒ゴマ ２０ｇ
ラム酒 大１～好みで
塩 少々
ﾚﾓﾝ汁 大さじ1
牛乳 (無い時は水50cc) 100cc
〇しょうゆ 小さじ1
☆牛乳（生クリーム・豆乳代用可） 大３
●薄口醤油  大さじ4
玉ねぎ 1/2個
ピザ用チーズ 適量
味醂・酒 各大匙1
おろししょうが 小さじ1
とろけるチーズ 1枚
赤玉ねぎ 1/2個
牛乳 ５０ｇ
ごま油  適宜
サラダ油 ５０ｍｌ
スキムミルク（無くても可） 大匙２
塩 小さじ半分くらい
鶏もも肉 1枚
黒豆 1/2カップ
胡椒 少々
玉ねぎ 半分
＊栗の煮汁 大２
サラダ油 適量
みりん 大3
☆ベーキングパウダー 小1/3
※レモン汁 小さじ１
☆醤油 大１／２
●重曹（あれば） 小さじ１/２
ブラックペッパー 適量
七味唐辛子 お好みで
★重曹 小さじ1
　酒 大1/2（7.5g）
●レモン汁 小さじ１
醤油 少々
本だし 適量
水 大さじ３
豆乳または牛乳 200cc
醤油 80ml
ぬるま湯 90cc
打ち粉（小麦粉） 適宜
ローリエやタイム 適量
フランスパン 1/2斤
めんつゆ 少々
トマトケチャップ 適量
ハチミツ...★ 20グラム
ねぎ 1本
水 ２．５㍑
白ゴマ 少々
☆砂糖 大さじ１
A片栗粉 適量
塩 少々
○ベーキングパウダー 小さじ４
つまようじ ８本
酒 小さじ1
塩 小さじ1/2
味醂 小さじ2
卵 1個
　Ⅰピーマン １個
鶏肉 20ｇ
チーズ お好みの量（なくてもＯＫ）
バジル・オレガノ（乾燥） お好みで♥
○塩 一つまみ
ごぼう（太め） 1/3本
バター １５グラム
クローブ 適量
乾燥バジル 適量
固形コンソメ 約１／２個
醤油 少々
山芋 1/4本
油 大さじ3
カレールー ５皿分
レーズン 大さじ２
☆酒 大さじ1.5
白だし 大さじ５
もち 適量
ココナッツロング （省略可）適量
水 適量
砂糖 小1/2
＊酒 大さじ2
○しめじ（あれば） ひとつかみ
ハチミツ 大さじ1くらい
コショウ お好みで
★ハチミツ 小さじ1
水 500ml
おろしにんにく（みじんぎり可） 適量
ごま油 小さじ2
メープルシロップまたは黒蜜 仕上げにお好みで☆
鶏肉 200ｇ位
鷹の爪 １本
南瓜ペースト ５０ｇ
セージ　（フレッシュ） ３本
生クリーム 120㏄
砂糖 大さじ３
☆ナツメグ 小さじ1/2
蜂蜜 大匙２
砂糖 カップ9/10
玉ねぎ 1個
粉末パセリ 少々
柿、リンゴの乾燥皮 適宜
濃い口醤油 大さじ２～３
ケチャップ 適量
バター 20g
酒 大１
あさつき 適宜
塩 1g
◎ベーキングパウダー 2ｇ
カレールー 3皿分
塩こしょう 少々
●めんつゆ3倍濃縮 80～100ｃｃ
オレガノ　（ドライ） 小1/2
カロリーゼロシュガー(白砂糖可） 大さじ1~1.5（白砂糖なら3倍）
しょうゆ 大さじ４
※お好みで　しょうゆ ほんの少しだけ
鷹の爪 3本
スナックエンドウ 4個
めんつゆ 大さじ1
塩 小さじ１．５～２
＊砂糖 大匙２
加糖ミルクココア 大さじ２
顆粒カツオダシ 少々
玉ねぎ・にんじん・ピーマン 各同量（お好みで）
お酢 大さじ３
★塩 小さじ１/３
白いりごま 少々
☆酒 大2
おなます 人参：大根は1：5
★しょうゆ 大さじ３
☆片栗粉 大さじ2
醤油 20cc
すり胡麻 小1
片栗粉 小さじ1～4
黒豆 飾り用に８・９粒
★酢 50ml
レモン汁（嫌な場合は省いて下さい） 小さじ２
コショウ 小さじ２
オリーブオイル 大さじ2
ベーキングパウダー 小さじ１
オリーブオイル 適量
里芋 中1個
水 １００ｃｃ
三つ葉 1～2本
グローブ（★）ホール状 大さじ１
サラダ油 大さじ1
みりん 大さじ2
　　　　　　　　ハム 1枚
牛乳 200ｃｃ
余ったスモークサーモン 1枚
マヨネーズ 大さじ１
◇みりん 大匙１／２
コーン ８０グラム
☆エクストラバージンオリーブオイル 大さじ１
牛蒡 中１本
ゆずの皮 １cm×２cm分
酒（無塩） 大さじ２
バニラエッセンス 少々
♡　醤油 小１
コーン（缶） 50g
◎粒マスタード 小さじ１
片栗粉 小さじ1
かつお節（細けずり） １袋
ナツメグ 少々
卵（卵黄と卵白に分ける） １個
(にんじん 1/2本)
蟹ミソ 30gくらい(缶詰1/2)
☆クミンシード 小さじ1
☆水 １５０ml
卵白 ３個分
オリーブオイル 小さじ１／２
にんにく 1かけ
柚子 適量
油 少し
シナモン 適量
水 ２００ｃｃ
塩 適量
◎マヨネーズ 大さじ２強
醤油 大さじ１
だし醤油 適量
醤油 小さじ１/２
ドライイースト ４ｇ
みりん 小さじ４/３～１
☆みりん 大さじ１
〇湯 小匙１．５
牛乳 400㏄
牛乳 大匙３〜５
＊味噌(白味噌でもOK ) 小さじ３
白菜 1/4ヶ
●ベーキングパウダー 1ｸﾞﾗﾑ
サツマイモ ふかしたもの10グラム
ゴマ 適量
固形マギーブイヨン ３つ
酢 150cc
すりゴマ 大さじ1（好みでたっぷり）
■粗塩 小さじ1/2
お好みの野菜 適量
水 1カップ
ケチャップ 大さじ2
大根の葉の塩もみ（柚子風味） 適宜
かにかま ３本
みりん 大さじ１
塩・こしょう、カレー粉 少々
薄力粉 ４０ｇ
三温糖 大さじ5
●水 ２００cc
●みりん、酒 各大2杯
海苔 １枚
☆砂糖 大さじ２
☆レモン汁 適量
☆水 ２００ｍｌ
おつまみ用チーズ　ブラックペッパー 適量
サラダ油 適量
みりん 大２
水 ３カップ
味噌 大さじ　１
醤油 大さじ2
料理用の鉛 １個
片栗粉 小さじ2
A. 三温糖 大さじ3
ココアパウダー 小さじ1/2
☆みりん 大さじ1
ウズラの卵（ゆで） 10個
チョコペン １個
■重曹 小さじ1/2
オレガノ 少々
酢 1 cup
卵 少々　
鶏ガラスープの素 小１
酒 大さじ2
ごま油 少々
塩　こしょう 少々
★水 １１/２
蜂蜜 大２～2.5
鶏がらスープの素 小さじ1/2
溶き卵（Ｌサイズ） １／２個
本みりん 小さじ１
●りんご（またはキーウィ） 1/2個（おろしておく）
牛乳 大さじ3
○しょうがみじん切り １片分
ベーキングパウダー 小さじ１
青ねぎ、いりごま、七味 お好みで
水 １２００ｍｌ（豆の4倍量）
☆砂糖 大さじ２
白練りごま 大さじ　1
☆酒・片栗粉 各　大さじ１
はちみつ 20ｇ
サラダ油 大さじ1
☆薄口醤油 大さじ２
◆塩 小さじ1/2
塩コショウ 適量
日本酒 大さじ３
ドライパセリ 少々
クミンパウダー 小さじ2
塩 小さじ1/2　程度
塩 少々
●さとう（できれば三温糖） 大さじ２
コリアンダー 小さじ1
ミックスペッパー（なければブラックペッパー） 少々
　*　塩 小さじ２
塩 少々
アサリ缶（むき身） １缶・内容量約２９０ｇ（汁含む）
葱（カットしたもの） 適量
クレイジーソルト又は塩胡椒 適量
　★パン粉 一握り
醤油 大さじ２強
醤油 大さじ1
青物（エンドウ等） 適宜
海苔 適宜
重曹 小さじ１/４
塩・こしょう お好みで・・
ピザ用チーズ ２５ｇ
A　醤油 大さじ１
　★片栗粉 少々
卵白 ２個分
サラダ油 型に塗る用
お餅 4個
白ゴマ 適量
★パセリ 40g
ラー油 たっぷり☆
塩 ３振り
トマト缶詰 200cc
酒 大さじ3
砂糖 大1～1.5（お好みで）
ケチャップ 片栗粉と同量位
はちみつ 適量
なると 1/2本
★薄口しょうゆ 大さじ１
栗きんとん（※） 100ｇ
にんにく 1かけ
オリーブオイル 大さじ２
塩、こしょう 少々
オリーヴオイル 少々
牛乳 50㏄
水 1カップ
水 調味料を差し引いた分
だし汁（昆布だしがオススメ） ８００ｃｃ
☆コチュジャン 大さじ1～1.5
卵黄 1個分
